Nombre,Desc Corta,Capacidad,Alto,Ancho,Fondo,Colores,Descripcion,Imagen1,Imagen2,Imagen3,Imagen4,Categoria,Archivo
Papelera cubo,,122 - 146 LTS,76.0 - 91.0 cm,45 cm,45.0 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con tapa individuales? con abertura según necesidades? cuadrada? redonda o buzón. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en escuelas? hospitales? andadores? centros comerciales e industrias.,21,21_2,,,Papelera,PAPELERA CUBO.pdf
PAPELERA DE PARED MULTI PRO,,80 LTS,77.0 cm,60 cm,36.0 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AMARILLO? GRIS CON AZUL MARINO? CREPE CON CAFÉ,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con dos taquetes de expansión de ¼ y una solera? para su colocación en pared a nivel del piso. Se puede realizar con dos compartimentos? según necesidades del cliente? para la separación de basura en el mismo contenedor. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en parques? escuelas? hospitales? empresas? oficinas y andadores.,22,22_2,,,Papelera,PAPELERA DE PARED.pdf
PAPELERA RECIcla,,80 LTS,54 - 100  -  179 cm,49.5 cm,,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Estructura con base lista para anclar en piso o empotrar en concreto? opcional con espacio para logo. Se pueden realizar juegos hasta de cinco papeleras Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en lugares externos? escuelas? parques? andadores? hospitales y centros comerciales.,23,,,,Papelera,PAPELERA RECICLA.pdf
PAPELERA URBANA PRO-30,,30 LTS,74 - 150 cm,35.0 cm,,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Se puede empotrar y cuenta con llave de acceso para una mayor seguridad. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en parques? escuelas? calles y andadores.,24,,,,Papelera,PAPELERA URBANA-30.pdf
PLATAFORMA PRO-PLAT1-200,,200 LTS,15.5 cm,66.0 cm,66.0 cm,AMARILLO CON REJILLA NEGRA,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Rejilla superior acanalada para recolector de líquidos hasta 35 lts Su capacidad es para un tambo de 200 lts Se fabrican en color amarillo con rejilla negra. Son de gran utilidad a nivel industria y donde utilizan químicos y derivados.,25,,,,Plataforma,PLATAFORMA 1-200.pdf
PLATAFORMA PRO-PLAT2-200,,200 LTS,15.5 cm,66.0 cm,133.0 cm,AMARILLO CON REJILLA NEGRA,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Rejilla superior acanalada para recolector de líquidos hasta 87 lts Su capacidad es para dos tambos de 200 lts Se fabrican en color amarillo con rejilla negra. Son de gran utilidad a nivel industria y donde utilizan químicos y derivados,26,,,,Plataforma,PLATAFORMA 2-200.pdf
PLATAFORMA PRO-PLAT4-200,,200 LTS,19.0 cm,133.0 cm,133.0 cm,AMARILLO CON REJILLA NEGRA,Esta fabricada en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Rejilla superior acanalada para recolector de líquidos hasta 160 lts Su capacidad es para cuatro tambos de 200 lts Se fabrican en color amarillo con rejilla negra. Son de gran utilidad a nivel industria y donde utilizan químicos y derivados,27,,,,Plataforma,PLATAFORMA 4-200.pdf
CONTENEDOR PRO-BATERY,,,47.0 cm,25.0 cm,16.0 cm,AMARILLO CON ROJO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Hecho especialmente para pilas usadas? cuenta con doble compartimento y entrada? izquierda para pilas tipo boton y derecha para pilas tipo alcalinas Son de gran utilidad para escuelas? centros comerciales y empresas.,28,,,,Contenedor,PRO-BATERY.pdf
CONTENEDOR RECOBATERY,,,45.0 cm,23.5 cm,10.5 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Hecho especialmente para pilas o baterias usadas? cuenta con dos entradas? superior para pilas tipo boton e inferior para pilas tipo alcalinas Son de gran utilidad para escuelas? centros comerciales y empresas.,29,,,,Contenedor,RECOBATERY.pdf
CARRO RECOLECTOR PRO-500,,500 LTS,98.0 cm,80.0 cm,139.5 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Fácil vaciado inclinable al frente? cuenta con estructura tubular de refuerzo? así como también con una caja para guardar los enseres del operador. Se fabrican en colores que ayudan a la clasificación de los desechos y/o equipo de trabajo. Diseñado especialmente para uso de limpia. Son de gran utilidad en hospitales? hoteles e industria en general.,30,30_2,,,Carro,RECOLECTOR-500.pdf
REMOLQUE PRO-4000,,4000 LTS,158.0 cm,211.0 cm,237.0 cm,VERDE ECOLOGICO? VERDE OBSCURO? ROJO? AZUL REY? AMARILLO Y GRIS CLARO,Esta fabricado en el proceso de rotomoldeo? utilizando polietileno de media densidad? lo cual le da las propiedades de absorber los impactos y ser altamente resistentes a las condiciones del clima? cuenta con protección a los rayos UV. Cuenta con cuatro tapitas de fácil manejo para deposito de residuos? dos ruedas de 16”? para un mejor traslado? lanza para su anclaje y movimiento del mismo? separación de interior según necesidades. Contenedor principalmente utilizado y adaptado para exteriores. Se fabrican en colores que ayudan a la clasificación de los desechos. Son de gran utilidad en unidades habitacionales ? escuelas? hospitales? parques? centros de acopio o en industrias,31,,,,Carro,REMOLQUE 4000.pdf
